species,lat.,long.
U._maritimus,78.526,14.028
U._maritimus,78.508,13.852
U._maritimus,79.789,19.548
U._arctos,52.667,-127.901
U._arctos,64.49,-172.42
U._americanus,45.942,-80.903
N._narica,20.429,-87.296
N._narica,33.277,-111.156
P._lotor,41.298,-79.494
P._lotor,40.24,-87.316
M._mephitis,29.155,-96.057
M._mephitis,44.047,-92.519
M._mephitis,31.904,-109.155
M._meles,57.009,-2.672
M._meles,51.814,0.935
C._lupus,44.922,-110.213
C._lupus,63.225,-150.44
C._latrans,42.573,-80.138
C._latrans,32.232,-111.053
L._pictus,-19.252,23.158
L._pictus,-23.121,31.43
C._aureus,27.156,77.521
U._cinereoargenteus,23.746011,-110.1097
H._hyaena,-3.114652,34.928544
C._crocuta,-0.348785,36.812225
C._crocuta,-2.332841,34.833333
A._jubatus,-2.859852,34.904344
P._pardus,-25.058894,31.243958
P._tigris,20.328658,79.283358
P._tigris,24.699237,80.068908
P._leo,-24.731981,27.922649
T._bairdii,8.468641,-83.4049
C._simum,-0.242915,36.187874
D._bicornis,-20.497605,14.155269
E._hemionus,23.05589,71.379146
E._caballus,47.560455,21.109702
E._burchelli,-21.854543,15.135437
L._guanicoe,-51.033833,-72.733261
L._guanicoe,-44.045491,-65.224821
L._guanicoe,-40.713368,-71.128964
C._dromedarius,31.108442,-3.944789
G._camelopardalis,1.269492,37.185724
S._caffer,-33.407009,25.797568
B._bison,44.974469,-110.703867
B._bison,43.666718,-103.363484
T._oryx,-34.354692,18.477417
G._thomsonii,-3.506923,36.035282
A._cervicapra,13.006147,80.241904
A._cervicapra,14.656469,75.6825
M._kirki,0.062335,39.186408
O._americanus,43.839792,-103.536422
O._americanus,48.688273,-113.73619
O._canadensis,45.971968,-117.43453
H._equinus,13.105742,-13.252218
A._melampus,1.307618,37.137685
C._taurinus,-1.468315,35.141901
C._taurinus,-3.017342,35.002056
C._taurinus,-29.840434,30.540399
D._lunatus,-1.400338,35.08621
A._buselaphus,-19.960335,15.568631
A._americana,43.608278,-105.159432
A._americana,40.739628,-104.514324
C._canadensis,44.899294,-110.260756
C._canadensis,45.236955,-117.905453
D._dama,38.704048,-8.756105
A._alces,61.077601,-149.824718
A._alces,45.655049,-69.650617
R._tarandus,69.443978,18.156492
O._virginianus,45.927417,-117.556626
O._virginianus,24.77433,-81.267264
O._virginianus,43.843604,-69.830419
O._hemionus,45.923879,-117.454844
